Postalcode,City,Latitude,Longitude
N0B 1K0,Waterloo,43.5569,-80.4414
N0B 1N0,Waterloo,43.5569,-80.4414
N0B 2H0,Waterloo,43.5569,-80.4414
N0B 2N0,Waterloo,43.5569,-80.4414
N2J 0A1,Waterloo,43.504,-80.5366
N2J 0A3,Waterloo,43.504,-80.5366
N2J 0A4,Waterloo,43.504,-80.5366
N2J 0A6,Waterloo,43.504,-80.5366
N2J 0A7,Waterloo,43.504,-80.5366
N2J 0A8,Waterloo,43.504,-80.5366
N2J 0B3,Waterloo,43.504,-80.5366
N2J 0B4,Waterloo,43.504,-80.5366
N2J 1A1,Waterloo,43.504,-80.5366
N2J 1A2,Waterloo,43.504,-80.5366
N2J 1A3,Waterloo,43.504,-80.5366
N2J 1A4,Waterloo,43.504,-80.5366
N2J 1A5,Waterloo,43.504,-80.5366
N2J 1A6,Waterloo,43.504,-80.5366
N2J 1A7,Waterloo,43.504,-80.5366
N2J 1A8,Waterloo,43.504,-80.5366
N2J 1A9,Waterloo,43.504,-80.5366
N2J 1B1,Waterloo,43.504,-80.5366
N2J 1B2,Waterloo,43.504,-80.5366
N2J 1B3,Waterloo,43.504,-80.5366
N2J 1B4,Waterloo,43.504,-80.5366
N2J 1B5,Waterloo,43.504,-80.5366
N2J 1B6,Waterloo,43.504,-80.5366
N2J 1B7,Waterloo,43.504,-80.5366
N2J 1B8,Waterloo,43.504,-80.5366
N2J 1B9,Waterloo,43.504,-80.5366
N2J 1C1,Waterloo,43.504,-80.5366
N2J 1C2,Waterloo,43.504,-80.5366
N2J 1C3,Waterloo,43.504,-80.5366
N2J 1C4,Waterloo,43.504,-80.5366
N2J 1C5,Waterloo,43.504,-80.5366
N2J 1C6,Waterloo,43.504,-80.5366
N2J 1C7,Waterloo,43.504,-80.5366
N2J 1C8,Waterloo,43.504,-80.5366
N2J 1C9,Waterloo,43.504,-80.5366
N2J 1E1,Waterloo,43.504,-80.5366
N2J 1E2,Waterloo,43.504,-80.5366
N2J 1E3,Waterloo,43.504,-80.5366
N2J 1E4,Waterloo,43.504,-80.5366
N2J 1E5,Waterloo,43.504,-80.5366
N2J 1E6,Waterloo,43.504,-80.5366
N2J 1E7,Waterloo,43.504,-80.5366
N2J 1E8,Waterloo,43.504,-80.5366
N2J 1E9,Waterloo,43.504,-80.5366
N2J 1G1,Waterloo,43.504,-80.5366
N2J 1G2,Waterloo,43.504,-80.5366
N2J 1G3,Waterloo,43.504,-80.5366
N2J 1G4,Waterloo,43.504,-80.5366
N2J 1G5,Waterloo,43.504,-80.5366
